domain,tld,availability,dns,source,checked_at,notes
iptvcanada.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,EMD
iptv-canada.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
canadiantv.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvprovider.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
bestiptv.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvsubscription.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvservice.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
streamcanada.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvcan.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvottawa.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvtoronto.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvquebec.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvmontreal.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvpremium.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
firestickiptv.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
bestiptvcanada.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvreviews.ca,ca,taken,no_a,rdap.ca.fury.ca,2026-09-13,registered but no A
iptvtrial.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvchannels.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvplayer.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvbox.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvapp.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
watchiptv.ca,ca,taken,no_a,rdap.ca.fury.ca,2026-09-13,
iptvhub.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvnow.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
northiptv.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
canuckiptv.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptv4k.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
streamnorth.ca,ca,taken,no_a,rdap.ca.fury.ca,2026-09-13,who.is owner noted; not pointed
mapleiptv.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
trueiptv.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
cleariptv.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
watchcanada.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
canadastream.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
tivimate.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,TRADEMARK do not recommend even if it were free
smarters.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,TRADEMARK-sensitive
iptvsmarters.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,TRADEMARK-sensitive
iptvcalgary.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvedmonton.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
iptvhalifax.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
televiseur.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
maplestream.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
northstream.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
streamguide.ca,ca,taken,resolves,rdap.ca.fury.ca,2026-09-13,
livetvcanada.ca,ca,taken,no_a,rdap.ca.fury.ca,2026-09-13,
smarttviptv.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
iptvguide.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
iptvdeals.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
iptvplans.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
liveiptv.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
iptvcompare.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
compareiptv.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
iptvrating.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
firestickcanada.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,CIRA 404
iptvvancouver.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city long-tail
iptvwinnipeg.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city long-tail
iptvfrancais.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,FR-CA
forfaitiptv.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,FR-CA
essaiiptv.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,FR-CA
lecteuriptv.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,FR-CA player
iptvquebecois.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,FR-CA
canadaplay.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,brandable
streammaple.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,brandable
iptvvictoria.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
iptvkelowna.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
iptvhamilton.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
iptvlondon.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
iptvkitchener.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
iptvregina.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
iptvsaskatoon.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
iptvmoncton.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
iptvniagara.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,city
tvguideplus.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,
canadastv.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,
iptvlegal.ca,ca,appears_available,no_a,rdap.ca.fury.ca,2026-09-13,informational/legal cluster
iptvcanada.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvireland.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvaustralia.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvfrance.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvusa.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
bestiptv.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvsubscription.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvprovider.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvservice.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
tivimate.net,net,taken,resolves,rdap.verisign.com,2026-09-13,TRADEMARK
irishiptv.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
bestiptvireland.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
abonnementiptv.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvbelgique.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvsuisse.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvguide.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
iptvdeals.net,net,taken,no_a,rdap.verisign.com,2026-09-13,
iptvplans.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
firestickiptv.net,net,taken,resolves,rdap.verisign.com,2026-09-13,
smarttviptv.net,net,appears_available,no_a,rdap.verisign.com,2026-09-13,
compareiptv.net,net,appears_available,no_a,rdap.verisign.com,2026-09-13,
iptvireland-guide.net,net,appears_available,no_a,rdap.verisign.com,2026-09-13,
iptvireland-guide.com,com,appears_available,no_a,rdap.verisign.com,2026-09-13,
compareiptvcanada.com,com,appears_available,no_a,rdap.verisign.com,2026-09-13,
iptvcanada.co,co,treat_taken,resolves,rdap.org 404 ignored because DNS resolves,2026-09-13,rdap.org .co is untrustworthy
iptvireland.co,co,treat_taken,resolves,dns,2026-09-13,
iptvaustralia.co,co,treat_taken,resolves,dns,2026-09-13,who.is UI said available — CONFLICT with DNS. Re-check at registrar before any decision.
iptvfrance.co,co,treat_taken,resolves,dns,2026-09-13,
bestiptv.co,co,treat_taken,resolves,dns,2026-09-13,
iptvusa.co,co,treat_taken,resolves,dns,2026-09-13,
iptvsubscription.co,co,treat_taken,resolves,dns,2026-09-13,
iptvservice.co,co,treat_taken,resolves,dns,2026-09-13,
tivimate.co,co,treat_taken,resolves,dns,2026-09-13,TRADEMARK
iptvguide.co,co,conflict,resolves,identitydigital 404 + DNS A,2026-09-13,do not treat as available
iptvprovider.co,co,appears_available,no_a,rdap.identitydigital.services 404,2026-09-13,confirm in registrar cart
compareiptv.co,co,appears_available,no_a,rdap.identitydigital.services 404,2026-09-13,confirm in registrar cart
smarttviptv.co,co,appears_available,no_a,rdap.identitydigital.services 404,2026-09-13,confirm in registrar cart
iptvireland.ie,ie,treat_taken,resolves,who.is + DNS,2026-09-13,rdap.org 404 false negative
irishiptv.ie,ie,treat_taken,resolves,who.is + DNS,2026-09-13,
bestiptv.ie,ie,appears_available,no_a,who.is + rdap.org 404,2026-09-13,IEDR Irish-connection required
iptv-ireland.ie,ie,appears_available,no_a,rdap.org 404,2026-09-13,confirm IEDR
iptvie.ie,ie,appears_available,no_a,rdap.org 404,2026-09-13,confirm IEDR
iptvdublin.ie,ie,appears_available,no_a,rdap.org 404,2026-09-13,confirm IEDR
iptvreview.ie,ie,appears_available,no_a,rdap.org 404,2026-09-13,confirm IEDR
iptvguide.ie,ie,appears_available,no_a,rdap.org 404,2026-09-13,confirm IEDR
compareiptv.ie,ie,appears_available,no_a,rdap.org 404,2026-09-13,confirm IEDR
iptvtrial.ie,ie,appears_available,no_a,rdap.org 404,2026-09-13,confirm IEDR
tivimate.ie,ie,appears_available,no_a,rdap.org 404,2026-09-13,DO NOT REGISTER trademark
iptvfrance.fr,fr,taken,resolves,rdap.nic.fr,2026-09-13,parked per who.is
abonnementiptv.fr,fr,taken,,rdap.nic.fr,2026-09-13,
meilleuriptv.fr,fr,taken,,rdap.nic.fr,2026-09-13,
iptv.fr,fr,taken,,rdap.nic.fr,2026-09-13,
abo-iptv.fr,fr,taken,,rdap.nic.fr,2026-09-13,
iptvguide.fr,fr,taken,resolves,rdap.nic.fr,2026-09-13,
meilleur-iptv.fr,fr,taken,resolves,rdap.nic.fr,2026-09-13,
iptvfirestick.fr,fr,taken,resolves,rdap.nic.fr,2026-09-13,
iptvplayer.fr,fr,taken,no_a,rdap.nic.fr,2026-09-13,
