Date Found,Country,Language,Keyword,Keyword Category,Search Volume,KD %,KD Category,CPC,Intent,SERP Difficulty,SERP Notes,Related Keyword Cluster,Cluster Volume,Opportunity Score,Priority,Domain Candidate,TLD,Availability,Registrar Checked,Trademark Risk,Notes
2026-09-14,Ireland,en,iptv ireland,service+country,1900,23,Easy,N/A,Informational / Commercial,weak-moderate,DDG provider microsites; no .ie in top,ireland_iptv_core,1900,70,HIGH,SKIP_IE_DOCUMENTS,n/a,ignored,.ie requires documents — do not pursue,low,SEO keyword only. No .ie domain recommendation.
2026-09-14,Ireland,en,best iptv ireland,service+best+country,140,5,Very Easy,N/A,Commercial,moderate,Guru99 + thin providers,ireland_iptv_core,2040,55,LONG-TAIL CLUSTER,SKIP_IE_DOCUMENTS,n/a,ignored,.ie requires documents,low,SEO-only. No .ie domain.
2026-09-13,Ireland,en,iptv subscription ireland,service+subscription+country,N/A,N/A,N/A,N/A,commercial,N/A,Related query,ireland_iptv_core,N/A,N/A,LOW,SKIP_IE_DOCUMENTS,n/a,ignored,.ie documents,low,Ignored for domain hunt.
2026-09-13,Ireland,en,iptv free trial ireland,service+trial+country,N/A,N/A,N/A,N/A,commercial,N/A,Related query,ireland_iptv_core,N/A,N/A,LOW,SKIP_IE_DOCUMENTS,n/a,ignored,.ie documents,low,Ignored for domain hunt.
2026-09-13,Ireland,en,irish iptv,service+country,N/A,N/A,N/A,N/A,commercial,N/A,Related query,ireland_iptv_core,N/A,N/A,LOW,SKIP_IE_DOCUMENTS,n/a,ignored,.ie documents,low,Ignored for domain hunt.
2026-09-14,France,fr,abonnement iptv,service+subscription,18100,25,Easy,0.69,Informational,weak,DDG: Selectra/news/Guru99 not specialist IPTV pubs,france_abonnement,18100,90,JACKPOT,compareriptv.fr,.fr,appears_available,SEMrush free tool FR + AFNIC RDAP,low,Verified 18.1K global 29.4K / KD 25 Easy. Exact abonnementiptv.fr taken.
2026-09-14,France,fr,iptv france,service+country,8100,33,Possible,0.57,Commercial,weak-moderate,News + Guru99 + Selectra,france_abonnement,32190,78,HIGH,guideiptv.fr,.fr,appears_available,SEMrush free FR + AFNIC,low,Verified 8.1K / KD 33 Possible. iptvfrance.fr taken.
2026-09-14,France,fr,meilleur iptv,service+best,5400,43,Possible,N/A,Commercial,N/A,meilleuriptv.fr taken,france_abonnement,32190,72,HIGH,compareriptv.fr,.fr,appears_available,SEMrush free FR,low,Verified 5.4K / KD 43 Possible.
2026-09-14,France,fr,essai iptv,service+trial,590,4,Very Easy,N/A,Informational,N/A,Not fully SERP-crawled,france_abonnement,32190,74,LONG-TAIL CLUSTER,essai-iptv.fr,.fr,appears_available,SEMrush free FR + AFNIC 404,low,Verified 590 / KD 4 Very easy. essaiiptv.fr taken.
2026-09-14,Canada,en,iptv canada,service+country,14800,52,Difficult,0.91,Informational,moderate,Guru99 STH iptvcanada.com iptvstore.ca Indie Hackers,canada_iptv_core,14800,71,HIGH,compareiptv.ca,.ca,appears_available,SEMrush free tool CA,low,Verified 14.8K / KD 52 Difficult. EMD iptvcanada.ca taken and currently offline.
2026-09-14,Canada,en,best iptv canada,service+best+country,1900,32,Possible,N/A,Commercial,moderate,Same review-roundup pattern + thin blogs,canada_iptv_core,16700,64,MEDIUM,iptvguide.ca,.ca,appears_available,SEMrush free tool CA,low,Verified 1.9K / KD 32 Possible.
2026-09-14,Canada,en,iptv subscription canada,service+subscription+country,390,32,Possible,0.00,Informational / Commercial,moderate,guru99 + STH + provider sites,canada_iptv_core,17090,58,LONG-TAIL CLUSTER,iptvplans.ca,.ca,AVAILABLE,Noxtools Semrush S6 + CIRA,low,Verified 390 / KD 32. Exact iptvsubscription.ca TAKEN.
2026-09-14,France,fr,iptv pas cher,service+cheap,1600,21,Easy,0.00,Commercial,moderate,selectra + comparateurs,france_abonnement,33790,80,HIGH,pascheriptv.fr,.fr,AVAILABLE,Noxtools Semrush S6 + AFNIC,low,Verified 1.6K / KD 21 Easy. iptvpascher.fr TAKEN.
2026-09-13,Canada,fr,forfait iptv,service+subscription,N/A,N/A,N/A,N/A,commercial,N/A,Not SERP-crawled; candidate for QC/FR-CA,canada_fr,N/A,N/A,LONG-TAIL CLUSTER,forfaitiptv.ca,.ca,appears_available,CIRA RDAP 404,low,Verify demand in SEMrush CA French queries.
2026-09-13,Canada,fr,essai iptv,service+trial,N/A,N/A,N/A,N/A,commercial,N/A,Not SERP-crawled,canada_fr,N/A,N/A,LONG-TAIL CLUSTER,essaiiptv.ca,.ca,appears_available,CIRA RDAP 404,low,French-CA trial wording.
2026-09-13,Belgium,fr,iptv belgique,service+country,N/A,N/A,N/A,N/A,commercial,moderate,Guru99 news iptvbelgiqueuhd.be blogs,belgium_fr,N/A,32/50 provisional,MEDIUM,iptvbelgie.be,.be,needs_registrar_confirm,rdap.org 404 only (DNS Belgium native RDAP unreachable from this host),low,iptvbelgique.be resolves/treat taken.
2026-09-13,Netherlands,nl,iptv nederland,service+country,N/A,N/A,N/A,N/A,commercial,moderate-hard,Multiple dedicated NL sites already rank,netherlands_nl,N/A,28/50 provisional,MEDIUM,iptvvergelijker.nl,.nl,appears_available,SIDN RDAP 404,low,iptvnederland.nl and iptv.nl taken.
2026-09-13,Germany,de,iptv deutschland,service+country,N/A,N/A,N/A,N/A,commercial,moderate-hard,News + local IPTV domains,germany_de,N/A,26/50 provisional,MEDIUM,iptvvergleicher.de,.de,appears_available,DENIC RDAP 404,low,EMDs taken.
2026-09-13,Switzerland,fr,iptv suisse,service+country,N/A,N/A,N/A,N/A,commercial,moderate,Guru99 + miscellaneous provider TLDs,switzerland_multi,N/A,34/50 provisional,MEDIUM,iptvguide.ch,.ch,appears_available,SWITCH RDAP 404,low,iptvsuisse.ch taken.
2026-09-13,Switzerland,de,iptv schweiz,service+country,N/A,N/A,N/A,N/A,commercial,moderate,Same cluster as suisse,switzerland_multi,N/A,34/50 provisional,MEDIUM,iptvvergleich.ch,.ch,appears_available,SWITCH RDAP 404,low,iptvschweiz.ch taken.
2026-09-13,Australia,en,iptv australia,service+country,N/A,N/A,N/A,N/A,commercial,moderate,Dedicated .com.au already ranking,australia_en,N/A,24/50 provisional,MEDIUM,iptvau.com.au,.com.au,appears_available,rdap.org 200/404 mix - 404 + no A,low,auDA eligibility rules. iptvaustralia.com.au taken.
2026-09-13,United States,en,iptv firestick,service+device,N/A,N/A,N/A,N/A,commercial,weak-moderate,Generic reviews not country-provider walls,device_firestick,N/A,30/50 provisional,LONG-TAIL CLUSTER,firestickcanada.ca,.ca,appears_available,CIRA RDAP 404,low,Build as cluster on country site; US volume unknown.
2026-09-13,United States,en,iptv smart tv,service+device,N/A,N/A,N/A,N/A,commercial,weak,App stores + generic guides (DDG),device_smarttv,N/A,30/50 provisional,LONG-TAIL CLUSTER,smarttviptv.ca,.ca,appears_available,CIRA RDAP 404,low,Also smarttviptv.net RDAP 404.
2026-09-13,Global,en,tivimate,app,N/A,N/A,N/A,N/A,mixed,hard-for-brand,Official + stores; tutorials in remaining slots,app_tivimate,N/A,18/50 provisional,MEDIUM,N/A - do not register brand EMD,N/A,N/A,N/A,high,SEO topic only. tivimate.ca taken. tivimate.ie looks free — still do not register.
2026-09-13,Global,en,tivimate premium,app+subscription,N/A,N/A,N/A,N/A,commercial,N/A,Not fully crawled,app_tivimate,N/A,N/A,MEDIUM,N/A,N/A,N/A,N/A,high,Do not impersonate official premium billing.
2026-09-13,Global,en,iptv smarters,app,N/A,N/A,N/A,N/A,mixed,hard-for-brand,Stores + APK mirrors + smartersplayer.tv,app_smarters,N/A,16/50 provisional,MEDIUM,N/A,N/A,N/A,N/A,high,iptvsmarters.ca taken. SEO != domain.
2026-09-13,Denmark,da,iptv,service,N/A,N/A,N/A,N/A,unknown,N/A,Not SERP-crawled,nordics,N/A,N/A,LOW,iptv.dk,.dk,rdap_404_confirm_reserved,Punktum/rdap.org 404 + no A,low,May be reserved/premium. Confirm in Punktum cart. Not a jackpot without volume.
2026-09-13,New Zealand,en,iptv nz,service+country,N/A,N/A,N/A,N/A,commercial,N/A,Not SERP-crawled,nz_en,N/A,N/A,LOW,iptvnz.co.nz,.co.nz,needs_registrar_confirm,rdap.org 404 + no A (nzrs native unreachable),low,.nz policy/eligibility. iptv.nz and iptv.co.nz resolve.
